Unnamed: 0,State,Sex,Year,Name,Count
0,GA,F,1910,Mary,841
1,GA,F,1910,Annie,553
2,GA,F,1910,Mattie,320
3,GA,F,1910,Ruby,279
4,GA,F,1910,Willie,275
5,GA,F,1910,Louise,231
6,GA,F,1910,Lillie,222
7,GA,F,1910,Ethel,207
8,GA,F,1910,Bessie,194
9,GA,F,1910,Rosa,190
10,GA,F,1910,Ruth,189
11,GA,F,1910,Elizabeth,184
12,GA,F,1910,Emma,171
13,GA,F,1910,Marie,166
14,GA,F,1910,Minnie,165
15,GA,F,1910,Carrie,163
16,GA,F,1910,Hattie,163
17,GA,F,1910,Fannie,160
18,GA,F,1910,Sarah,158
19,GA,F,1910,Mamie,152
20,GA,F,1910,Alice,150
21,GA,F,1910,Frances,143
22,GA,F,1910,Mildred,133
23,GA,F,1910,Thelma,133
24,GA,F,1910,Bertha,130
25,GA,F,1910,Gladys,130
26,GA,F,1910,Clara,129
27,GA,F,1910,Martha,127
28,GA,F,1910,Susie,127
29,GA,F,1910,Jessie,124
30,GA,F,1910,Nellie,122
31,GA,F,1910,Essie,121
32,GA,F,1910,Lillian,121
33,GA,F,1910,Lucille,117
34,GA,F,1910,Anna,116
35,GA,F,1910,Eva,115
36,GA,F,1910,Margaret,113
37,GA,F,1910,Ida,112
38,GA,F,1910,Lula,112
39,GA,F,1910,Pearl,112
40,GA,F,1910,Ella,111
41,GA,F,1910,Evelyn,110
42,GA,F,1910,Maggie,110
43,GA,F,1910,Daisy,107
44,GA,F,1910,Julia,107
45,GA,F,1910,Lizzie,106
46,GA,F,1910,Cora,103
47,GA,F,1910,Gertrude,102
48,GA,F,1910,Dorothy,100
49,GA,F,1910,Lucile,100
50,GA,F,1910,Edna,99
51,GA,F,1910,Irene,99
52,GA,F,1910,Helen,98
53,GA,F,1910,Beatrice,96
54,GA,F,1910,Pauline,92
55,GA,F,1910,Sallie,92
56,GA,F,1910,Lois,89
57,GA,F,1910,Viola,89
58,GA,F,1910,Georgia,88
59,GA,F,1910,Laura,88
60,GA,F,1910,Katie,87
61,GA,F,1910,Grace,76
62,GA,F,1910,Lucy,74
63,GA,F,1910,Mae,73
64,GA,F,1910,Alma,72
65,GA,F,1910,Ola,71
66,GA,F,1910,Inez,69
67,GA,F,1910,Myrtle,69
68,GA,F,1910,Josephine,67
69,GA,F,1910,Eula,66
70,GA,F,1910,Eunice,66
71,GA,F,1910,Florence,64
72,GA,F,1910,Sara,63
73,GA,F,1910,Virginia,63
74,GA,F,1910,Alberta,62
75,GA,F,1910,Johnnie,62
76,GA,F,1910,Estelle,60
77,GA,F,1910,Hazel,59
78,GA,F,1910,Janie,58
79,GA,F,1910,Catherine,57
80,GA,F,1910,Sadie,56
81,GA,F,1910,Beulah,55
82,GA,F,1910,Nettie,54
83,GA,F,1910,Addie,53
84,GA,F,1910,Agnes,53
85,GA,F,1910,Rose,53
86,GA,F,1910,Rosie,53
87,GA,F,1910,Flora,51
88,GA,F,1910,Leola,51
89,GA,F,1910,Mabel,51
90,GA,F,1910,Vera,51
91,GA,F,1910,Lottie,50
92,GA,F,1910,Effie,49
93,GA,F,1910,Edith,48
94,GA,F,1910,Lena,47
95,GA,F,1910,Lola,47
96,GA,F,1910,Maude,47
97,GA,F,1910,Dora,46
98,GA,F,1910,Gussie,45
99,GA,F,1910,Nora,39
100,GA,F,1910,Rebecca,39
101,GA,F,1910,Estella,38
102,GA,F,1910,Betty,37
103,GA,F,1910,Elsie,37
104,GA,F,1910,Katherine,37
105,GA,F,1910,Ollie,37
106,GA,F,1910,Ora,37
107,GA,F,1910,Blanche,36
108,GA,F,1910,Jennie,36
109,GA,F,1910,Mable,36
110,GA,F,1910,Ada,34
111,GA,F,1910,Bernice,34
112,GA,F,1910,Cleo,34
