country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,2021-02-22,0.0,0.0,,,,0.0,0.0,,,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-02-23,,,,,1367.0,,,,35.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-02-24,,,,,1367.0,,,,35.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-02-25,,,,,1367.0,,,,35.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-02-26,,,,,1367.0,,,,35.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-02-27,,,,,1367.0,,,,35.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-02-28,8200.0,8200.0,,,1367.0,0.02,0.02,,35.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-01,,,,,1580.0,,,,41.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-02,,,,,1794.0,,,,46.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-03,,,,,2008.0,,,,52.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-04,,,,,2221.0,,,,57.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-05,,,,,2435.0,,,,63.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-06,,,,,2649.0,,,,68.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-07,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-08,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-09,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-10,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-11,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-12,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-13,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-14,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-15,,,,,2862.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-16,54000.0,54000.0,,,2862.0,0.14,0.14,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-17,,,,,2882.0,,,,74.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-18,,,,,2902.0,,,,75.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-19,,,,,2921.0,,,,75.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-20,,,,,2941.0,,,,76.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-21,,,,,2961.0,,,,76.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-22,,,,,2980.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-23,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-24,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-25,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-26,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-27,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-28,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-29,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-30,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-03-31,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-04-01,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-04-02,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-04-03,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-04-04,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-04-05,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-04-06,,,,,3000.0,,,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,2021-04-07,120000.0,120000.0,,,3000.0,0.31,0.31,,77.0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Albania,ALB,2021-01-10,0.0,0.0,,,,0.0,0.0,,,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-11,,,,,64.0,,,,22.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-12,128.0,128.0,,,64.0,0.0,0.0,,22.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-13,188.0,188.0,,60.0,63.0,0.01,0.01,,22.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-14,266.0,266.0,,78.0,66.0,0.01,0.01,,23.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-15,308.0,308.0,,42.0,62.0,0.01,0.01,,22.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-16,369.0,369.0,,61.0,62.0,0.01,0.01,,22.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-17,405.0,405.0,,36.0,58.0,0.01,0.01,,20.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-18,447.0,447.0,,42.0,55.0,0.02,0.02,,19.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-19,483.0,483.0,,36.0,51.0,0.02,0.02,,18.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-20,519.0,519.0,,36.0,47.0,0.02,0.02,,16.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-21,549.0,549.0,,30.0,40.0,0.02,0.02,,14.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-22,,,,,34.0,,,,12.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-23,,,,,26.0,,,,9.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-24,,,,,21.0,,,,7.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-25,,,,,15.0,,,,5.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-26,,,,,9.0,,,,3.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-27,,,,,4.0,,,,1.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
Albania,ALB,2021-01-28,,,,,0.0,,,,0.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1380232232040808449?s=21
